10 
   0.68038  -0.21123   0.56620   0.59688   0.82329  -0.60490  -0.32955   0.53646  -0.44445   0.10794:  -0.03502
  -0.04521   0.25774  -0.27043   0.02680   0.90446   0.83239   0.27142   0.43459  -0.71679   0.21394:  -0.56835
  -0.96740  -0.51423  -0.72554   0.60835  -0.68664  -0.19811  -0.74042  -0.78238   0.99785  -0.56349:   0.90050
   0.02586   0.67822   0.22528  -0.40794   0.27510   0.04857  -0.01283   0.94555  -0.41497   0.54272:   0.84026
   0.05349   0.53983  -0.19954   0.78306  -0.43337  -0.29508   0.61545   0.83805  -0.86049   0.89865:  -0.70468
   0.05199  -0.82789  -0.61557   0.32645   0.78047  -0.30221  -0.87166  -0.95995  -0.08460  -0.87381:   0.76212
  -0.52344   0.94127   0.80442   0.70184  -0.46667   0.07952  -0.24959   0.52050   0.02507   0.33545:   0.28216
   0.06321  -0.92144  -0.12472   0.86367   0.86162   0.44190  -0.43141   0.47707   0.27996  -0.29190:  -0.13609
   0.37572  -0.66805  -0.11979   0.76015   0.65840  -0.33933  -0.54206   0.78674  -0.29928   0.37334:   0.23919
   0.91294   0.17728   0.31461   0.71735  -0.12088   0.84794  -0.20313   0.62953   0.36844   0.82194:  -0.43788

   10 [dim]     0.0000 [sec] #BOB

   0.68038  -0.21123   0.56620   0.59688   0.82329  -0.60490  -0.32955   0.53646  -0.44445   0.10794:   0.40665
  -0.00000   0.24371  -0.23281   0.06646   0.95916   0.79220   0.24953   0.47024  -0.74633   0.22111:   0.78960
   0.00000   0.00000  -0.69864   1.67917   3.68989   1.58968  -0.37497   1.55212  -2.12863   0.32903:  -0.81879
   0.00000   0.00000   0.00000   1.44762   2.08151  -0.20387  -1.16417   1.51014  -0.91473   0.32070:  -0.60982
  -0.00000   0.00000   0.00000   0.00000  -3.00348  -1.22249   0.94300  -0.96952   0.80841   0.23818:  -0.65713
   0.00000   0.00000   0.00000   0.00000   0.00000  -1.52838  -1.43445   0.26657   0.12647  -0.12329:  -0.24986
  -0.00000   0.00000   0.00000   0.00000   0.00000   0.00000  -0.46784  -1.45462  -0.31627  -0.88581:  -1.63406
   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000  -0.00000   1.92244   0.26919   0.84981:   1.20096
  -0.00000   0.00000   0.00000   0.00000  -0.00000   0.00000   0.00000   0.00000  -0.12771   0.35610:  -0.09866
   0.00000   0.00000   0.00000   0.00000  -0.00000   0.00000   0.00000   0.00000   0.00000   7.09734:  -1.42739

